Product_url,Title,Brand,MRP,ASP,Availability,Image_url,About_this_item,Rating,Total_rating,On_fresh
https://www.amazon.in/dp/B0BCW94CMW,"        Sprite Lemon-Lime Flavoured Cold Drink | Refreshing Taste | Clear Soft Drink with No Added Colours | PET Bottle, 1 L       ",Sprite,50.,50.,  In Stock  ,https://m.media-amazon.com/images/I/61jXq3Kqo2L._SX522_.jpg," 
 About this item    Clear out all the pressure of the week with Sprite's clear, crisp lemon-lime flavour    Sprite cold drink tastes best when chilled    It is a caffeine-free soft drink with no added color    Sprite soft drink comes in recyclable bottles    COMMONLY SEARCHED TERMS: sprite, sprite soft drink, sprite cold drink, soft drinks in pantry, sprite can, soft drinks    
 ", 4.4 ,28 ,Yes
https://www.amazon.in/dp/B0BRKXYRPL,"        catch Jira 1250 Millilitre Pet Bottle, Vegetarian       ",catch,75.00,38.,  In Stock  ,https://m.media-amazon.com/images/I/61qddW4FvwL._SX522_.jpg," 
 About this item    CATCH SPECIAL DRINK    
 ", 4.2 ,71 ,Yes
https://www.amazon.in/dp/B0BRKXJY61,"        catch Spring Cola 1250 Ml Pet Bottle, Vegetarian       ",catch,75.00,38.,  In Stock  ,https://m.media-amazon.com/images/I/61d4aKFtsCL._SX522_.jpg," 
 About this item    CATCH SPECIAL DRINK    
 ", 3.8 ,76 ,Yes
https://www.amazon.in/dp/B0BRKYH31J,"        catch Shikanji Masala 1250 Ml Pet Bottle, Vegetarian       ",catch,75.00,38.,  In Stock  ,https://m.media-amazon.com/images/I/31HkzcprDSL._SX300_SY300_QL70_FMwebp_.jpg," 
 About this item    CATCH SPECIAL DRINK    
 ", 4.0 ,82 ,Yes
https://www.amazon.in/dp/B0BX4H7HDN,"        Appy Fizz PET, 125 ml       ",Appy Fizz,,,Out of stock,https://m.media-amazon.com/images/I/511i0X9QKYL._SX425_.jpg," 
 About this item    Apple Flavoured Sparkling Drink    
 ", 4.3 ,466 ,No
https://www.amazon.in/dp/B0B8H7PLJM,        Limca 250 ml Bottle       ,Limca,20.,20.,  In Stock  ,https://m.media-amazon.com/images/I/31KCQDp6MjL.jpg,"         This is a Vegetarian product.   
 About this item    A product of Coca Cola    FSSAI License Number: 10019043002468    National Brand    
 ", 4.3 ,56 ,Yes
https://www.amazon.in/dp/B01LXTFLNQ,"        Minute Maid Pulpy Orange Juice drink | Orange Fruit Juice drink with Real Orange Pulp | Pulpy Orange Ready-To-Serve Drink, PET Bottle, 1 L       ",Minute Maid,90.00,79.,  In Stock  ,https://m.media-amazon.com/images/I/61aix3vMv5L._SX522_.jpg,"         This is a Vegetarian product.   
 About this item    0    COMMONLY SEARCHED TOPICS: minute maid pulpy orange juice, minute maid juice, minute maid orage juice, minute maid orange, minute maid pulpy, juices, fruit juice    PERFECT REFRESHMENT: Refresh yourself with the goodness of pulpy orange juice    READY-TO-SERVE FRUIT DRINK: It is a ready-to-serve fruit drink, so relish it anytime, anywhere    TASTES BEST WHEN CHILLED: Chill and shake well before consumption for maximum enjoyment    ORANGE PULP IN EVERY GULP: Enjoy the juicy punch of orange goodness in every gulp    GOODNESS OF REAL ORANGES: Minute Maid Pulpy Orange juice is made with real orange pulp    material features:vegetarian    
 ", 4.4 ,5932 ,Yes
https://www.amazon.in/dp/B079GX9DDF,"        Kinley Club Soda, 750 ml       ",Kinley,20.,20.,  In Stock  ,https://m.media-amazon.com/images/I/61DD7FiE82L._SX569_.jpg,"         This is a Vegetarian product.   
 About this item    Gives extra punch    It gives a degree of 'fizz'    Essential ingredient in cocktails    It can be used to top off the drink    item_form:liquid    form_factor:liquid    material_features:vegetarian    
 ", 4.4 ,8076 ,Yes
https://www.amazon.in/dp/B00FKDRL4A,"        FANTA®️ Orange Flavored Cold Drink | Soft Drink with Added Orange Flavour | Delicious Orangey Flavor| Recyclable Can, 300 ml       ",Fanta,40.00,37.,  In Stock  ,https://m.media-amazon.com/images/I/61poKU36b6L._SX425_.jpg,"         This is a Vegetarian product.   
 About this item    ADDED ORANGE FLAVOUR: Your favourite FANTA is now more orangey with an added orange flavour    DELICIOUSLY REFRESHING: Refresh yourself with the delicious orangey flavour of FANTA soft drink    VIBRANT COLOUR: The vibrant colour of FANTA cold drink brings out your bright and playful side    TINGLING BUBBLES: The tingling bubbles set the spirit free encouraging one to have fun    MAKES LIFE FUN: FANTA turns dull moments into colourful moments, letting one enjoy life to the fullest    RECYCLABLE PACKAGING: This orange drink comes in recyclable packaging ensuring environmental sustainability    
 ", 4.3 ,969 ,Yes
https://www.amazon.in/dp/B09N3MVHN2,"        Red Bull Energy Drink - Watermelon Edition, 250ml Can       ",Red Bull,125.,125.,  In Stock  ,https://m.media-amazon.com/images/I/51zZ8Z3-HlL._SX522_.jpg,"         This is a Vegetarian product.   
 About this item    Red Bull vitalizes body and mind    Red Bull Energy Drink is made with real sugars    Vitamins are essential micronutrients that are required for maintaining normal body functions    Red Bull cans are made of 100% recyclable aluminium    Taurine is an amino acid, naturally occurring in the human body and present in the daily diet.    
 ", 4.0 ,27 ,Yes
https://www.amazon.in/dp/B08NGFTNZ9,"        Thums Up Soft Drink | PET Bottle, 250 ml (Pack of 8)       ",Coca-Cola,,,Out of stock,"https://m.media-amazon.com/images/I/71Iu8ORdJPL._SX522_PIbundle-8,TopRight,0,0_AA522SH20_.jpg","         This is a Vegetarian product.   
 About this item    STRONG TASTE: Refresh yourself with the strong taste of Thums Up;SPICY & FIZZY: This strong, spicy and fizzy cold drink is designed to suit your palate    TASTE THE THUNDER: Bring out the adventurous side of you with the thunderous taste of Thums Up drink;CREATE AND ENJOY MOMENTS: Enjoy this beverage with family, friends and relive the joy of togetherness    ON-THE GO BEVERAGE: Enjoy the strong taste of Thums Up soft drink on the go, with meals or at parties; RECYCLABLE PACKAGING: Thums UP cans are 100% recyclable, ensuring environmental sustainability    COMMONLY SEARCHED TOPICS: thums up, thums up drink, thums up soft drink, thums up cold drink, thums up can, thums up in fresh    Material Features: Vegetarian    material_features:vegetarian    
 ", 4.5 ,1080 ,No
https://www.amazon.in/dp/B07G15JDK1,"        Sprite Lemon-Lime Flavoured Cold Drink | Refreshing Taste | Clear Soft Drink with No Added Colours | Recyclable Can, 300 ml       ",Sprite,40.,40.,  In Stock  ,https://m.media-amazon.com/images/I/41LPBHToqPL._SX300_SY300_QL70_FMwebp_.jpg,"         This is a Vegetarian product.   
 About this item    Clear out all the pressure of the week with Sprite's clear, crisp lemon-lime flavour    Sprite cold drink tastes best when chilled    It is a caffeine-free soft drink with no added color    Sprite soft drink comes in recyclable bottles    COMMONLY SEARCHED TERMS: sprite, sprite soft drink, sprite cold drink, soft drinks in pantry, sprite can, soft drinks    
 ", 4.4 ,685 ,Yes
https://www.amazon.in/dp/B07531B22N,"        Pepsi Mountain Dew Soft Drink, 600ml       ",Pepsi,38.,38.,  In Stock  ,https://m.media-amazon.com/images/I/41Tjig-S7jL._SY445_.jpg,"         This is a Vegetarian product.   
 About this item    In the moment of choice, take a sip of mountain dew, overcome self -doubt and achieve the extraordinary.    Powerful combo of an edgy citrus taste and an energy boost    Contains no fruit, contains caffeine, contains permitted synthetic food colour (102) and added flavour (natural flavouring substances), no artificial flavouring    
 ", 4.3 ,325 ,Yes
https://www.amazon.in/dp/B0BBZSM68L,"        Schweppes Original Soft Drink | Refreshing Ginger Ale Mixer | Recyclable Can, 300 ml (Pack of 6)       ",Schweppes,360,299,Out of stock,"https://m.media-amazon.com/images/I/71ECIKrlylL._SX522_PIbundle-6,TopRight,0,0_AA522SH20_.jpg"," 
 About this item    One of the World’s Original Sparkling Soft Drink Brand    Has a distinctive flavour that compliments various flavours    Can be enjoyed on its own or combined with alcohol    Serve cold for maximum refreshment    
 ", 4.3 ,341 ,No
https://www.amazon.in/dp/B00ZOZ5M4U,"        Schweppes Drink, Ginger Ale, 300ml       ",Schweppes,60.00,52.,  In Stock  ,https://m.media-amazon.com/images/I/61jLLcZF4PL._SX425_.jpg,"         This is a Vegetarian product.   
 About this item    Refreshing and distinctive taste    Made with real ginger for a crisp, clean refreshing ginger ale    Natural ginger flavor and other flavors    material_features:vegetarian    
 ", 4.4 ,932 ,Yes
https://www.amazon.in/dp/B079H9MGDW,"        catch Club Soda, 750 Milliliter, Vegetarian, Pack of 1       ",catch,25.,25.,  In Stock  ,https://m.media-amazon.com/images/I/81bvipc8EqL._SY550_.jpg,"         This is a Vegetarian product.   
 About this item    Net weight: 750 ml    It is debut in the beverage arena    This water is then bottled at our state-of-the-art facility    material_features:vegetarian    
 ", 4.5 ,153 ,Yes
https://www.amazon.in/dp/B094K92TZY,"        Paper Boat Swing Lush Lychee Juice, Litchi Drink Enriched with Vitamin D, No Gmos, 600 ml       ",1,40.00,38.,  In Stock  ,https://m.media-amazon.com/images/I/51GGuZse4CL._SX425_.jpg,"         This is a Vegetarian product.   
 About this item    All of the juiciness of lychee plus the added goodness of vitamin D. Each serve of swing lush lychee takes care of 50% of your daily vitamin D requirement    Swing lush lychee is a source of ascorbic acid that gives this drink its vitamin c properties, and well, You know just how good that is!    A drink that knows what's good for you, lush lychee does not contain any GMOs and this food by its nature is gluten-free    600 ml Pouch    
 ", 4.1 ,1758 ,Yes
https://www.amazon.in/dp/B0CH4V1XTW,        Dr Pepper Zero Sugar Sparkling Fruit Flavour Soft Drink Sweeteners 330ml (Pack Of 4)       ,Generic,"1,299",399,Out of stock,"https://m.media-amazon.com/images/I/81Iy8lD5oFL._SY445_PIbundle-4,TopRight,0,0_SX288SY445SH20_.jpg"," 
 About this item    Dr Pepper Zero    
 ",,,No
https://www.amazon.in/dp/B00VWJ5UYE,"        7 Up Soft Drink Lemon Can, 250 ml       ",7UP,,,Out of stock,https://m.media-amazon.com/images/I/71HHRBrs3tL._SX522_.jpg,"         This is a Vegetarian product.   
 About this item    Get refreshed, feel up    Crisp, lemony flavour    Instantly energizing    No added colour, no artificial flavouring, contains no fruit    Contains added flavour (natural flavouring substances)    
 ", 4.2 ,362 ,No
